Datetime,Water Level (m)
2024-03-15 18:00:00,-0.019988436
2024-03-15 19:00:00,-0.017261814
2024-03-15 20:00:00,-0.014994974
2024-03-15 21:00:00,-0.012820773
2024-03-15 22:00:00,-0.012461807
2024-03-15 23:00:00,-0.014975252
2024-03-16 00:00:00,-0.019694325
2024-03-16 01:00:00,-0.024310337
2024-03-16 02:00:00,-0.027124355
2024-03-16 03:00:00,-0.027762268
2024-03-16 04:00:00,-0.027589459
2024-03-16 05:00:00,-0.028440803
2024-03-16 06:00:00,-0.030701507
2024-03-16 07:00:00,-0.033472188
2024-03-16 08:00:00,-0.035793003
2024-03-16 09:00:00,-0.03807383
2024-03-16 10:00:00,-0.042219877
2024-03-16 11:00:00,-0.048919156
2024-03-16 12:00:00,-0.057060897
2024-03-16 13:00:00,-0.065123275
2024-03-16 14:00:00,-0.07128225
2024-03-16 15:00:00,-0.07477637
2024-03-16 16:00:00,-0.07549154
2024-03-16 17:00:00,-0.07499531
2024-03-16 18:00:00,-0.07388324
2024-03-16 19:00:00,-0.0728246
2024-03-16 20:00:00,-0.0711773
2024-03-16 21:00:00,-0.068968646
2024-03-16 22:00:00,-0.06741823
2024-03-16 23:00:00,-0.06792732
2024-03-17 00:00:00,-0.071455546
2024-03-17 01:00:00,-0.077211045
2024-03-17 02:00:00,-0.08263791
2024-03-17 03:00:00,-0.086449035
2024-03-17 04:00:00,-0.08941829
2024-03-17 05:00:00,-0.09262219
2024-03-17 06:00:00,-0.09751679
2024-03-17 07:00:00,-0.103537865
2024-03-17 08:00:00,-0.10951672
2024-03-17 09:00:00,-0.114946686
2024-03-17 10:00:00,-0.12038667
2024-03-17 11:00:00,-0.12700085
2024-03-17 12:00:00,-0.13554707
2024-03-17 13:00:00,-0.14488815
2024-03-17 14:00:00,-0.15253766
2024-03-17 15:00:00,-0.15727596
2024-03-17 16:00:00,-0.16011943
2024-03-17 17:00:00,-0.16067064
2024-03-17 18:00:00,-0.16024517
2024-03-17 19:00:00,-0.15891255
2024-03-17 20:00:00,-0.15728077
2024-03-17 21:00:00,-0.15537207
2024-03-17 22:00:00,-0.15342137
2024-03-17 23:00:00,-0.1515855
2024-03-18 00:00:00,-0.15111075
2024-03-18 01:00:00,-0.15270665
2024-03-18 02:00:00,-0.15607779
2024-03-18 03:00:00,-0.1599813
2024-03-18 04:00:00,-0.163884
2024-03-18 05:00:00,-0.16782871
2024-03-18 06:00:00,-0.17233306
2024-03-18 07:00:00,-0.17807688
2024-03-18 08:00:00,-0.1850687
2024-03-18 09:00:00,-0.19227228
2024-03-18 10:00:00,-0.19922361
2024-03-18 11:00:00,-0.20589398
2024-03-18 12:00:00,-0.2122413
2024-03-18 13:00:00,-0.21795903
2024-03-18 14:00:00,-0.22349842
2024-03-18 15:00:00,-0.22903188
2024-03-18 16:00:00,-0.23158327
2024-03-18 17:00:00,-0.23340282
2024-03-18 18:00:00,-0.23338436
2024-03-18 19:00:00,-0.23188467
2024-03-18 20:00:00,-0.2287755
2024-03-18 21:00:00,-0.22428323
2024-03-18 22:00:00,-0.21972533
2024-03-18 23:00:00,-0.21502154
2024-03-19 00:00:00,-0.21048506
2024-03-19 01:00:00,-0.20673323
2024-03-19 02:00:00,-0.20513098
2024-03-19 03:00:00,-0.20596588
2024-03-19 04:00:00,-0.20850818
2024-03-19 05:00:00,-0.21157432
2024-03-19 06:00:00,-0.21492904
2024-03-19 07:00:00,-0.21862282
2024-03-19 08:00:00,-0.22313917
2024-03-19 09:00:00,-0.22846223
2024-03-19 10:00:00,-0.23411071
2024-03-19 11:00:00,-0.23960562
2024-03-19 12:00:00,-0.2432094
2024-03-19 13:00:00,-0.24400267
2024-03-19 14:00:00,-0.24856575
2024-03-19 15:00:00,-0.2550843
2024-03-19 16:00:00,-0.26015148
2024-03-19 17:00:00,-0.26329258
2024-03-19 18:00:00,-0.2640393
2024-03-19 19:00:00,-0.26264808
2024-03-19 20:00:00,-0.26031336
2024-03-19 21:00:00,-0.25832778
2024-03-19 22:00:00,-0.25383466
2024-03-19 23:00:00,-0.24796155
2024-03-20 00:00:00,-0.24241808
2024-03-20 01:00:00,-0.23677896
2024-03-20 02:00:00,-0.23143877
2024-03-20 03:00:00,-0.22867586
2024-03-20 04:00:00,-0.22875325
2024-03-20 05:00:00,-0.23177002
2024-03-20 06:00:00,-0.23674944
2024-03-20 07:00:00,-0.24171871
2024-03-20 08:00:00,-0.24595731
2024-03-20 09:00:00,-0.24931881
2024-03-20 10:00:00,-0.25210834
2024-03-20 11:00:00,-0.25547302
2024-03-20 12:00:00,-0.25955844
2024-03-20 13:00:00,-0.26356027
2024-03-20 14:00:00,-0.26604787
2024-03-20 15:00:00,-0.2677974
2024-03-20 16:00:00,-0.27045184
2024-03-20 17:00:00,-0.27385062
2024-03-20 18:00:00,-0.27696177
2024-03-20 19:00:00,-0.27799398
2024-03-20 20:00:00,-0.2768853
2024-03-20 21:00:00,-0.27390456
2024-03-20 22:00:00,-0.26908135
2024-03-20 23:00:00,-0.2629725
2024-03-21 00:00:00,-0.2561491
2024-03-21 01:00:00,-0.2495822
2024-03-21 02:00:00,-0.24350557
2024-03-21 03:00:00,-0.23820587
2024-03-21 04:00:00,-0.2345162
2024-03-21 05:00:00,-0.23344132
2024-03-21 06:00:00,-0.23519723
2024-03-21 07:00:00,-0.23858377
2024-03-21 08:00:00,-0.24060495
2024-03-21 09:00:00,-0.24106759
2024-03-21 10:00:00,-0.24072236
2024-03-21 11:00:00,-0.2397106
2024-03-21 12:00:00,-0.23862307
2024-03-21 13:00:00,-0.23764715
2024-03-21 14:00:00,-0.23639691
2024-03-21 15:00:00,-0.23399769
2024-03-21 16:00:00,-0.23260956
2024-03-21 17:00:00,-0.23275028
2024-03-21 18:00:00,-0.23465523
